"","counts","names","type","depth","read_counts","length","normalized","normalized_adjusted","rpkm","fraction"
"26",12,"120R22_F03_CFFv1_NA0137_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",0.363346613545817,7041653,2510,5.15996192294361e-08,59.887979463768,0.678942358282055,1.70414531928796e-06
"27",32,"25P15_G02_CFFv1_NB0042_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",0.968924302788845,21445739,2510,4.51802711386558e-08,52.4375022631122,0.594477251824418,1.49213790207929e-06
"28",44,"25P19_C03_CFFv1_NB0042_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",1.33227091633466,21975800,2510,6.06244558257111e-08,70.3624604156205,0.79769020823304,2.00220242266493e-06
"29",32,"52P23_G03_CFFv1_NB0069_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",0.968924302788845,15169003,2510,6.38752792644872e-08,74.1354581673307,0.840464200848516,2.10956514412978e-06
"30",59,"73P02_B01_CFFv1_NB0094_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",1.78645418326693,25809275,2510,6.92175267715553e-08,80.3358219252698,0.910756931204675,2.28599989732373e-06
"31",50,"76P02_B01_CFFv1_NB0097_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",1.51394422310757,35451467,2510,4.27046988805166e-08,49.5642829880378,0.561903932638376,1.41037887092232e-06
"32",8,"93R20_D03_CFFv1_NA0087_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",0.242231075697211,6668156,2510,3.63265460042043e-08,42.16161812001,0.477980868476373,1.1997319798757e-06
"33",44,"97P10_B02_CFFv1_NB0119_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",1.33227091633466,25571265,2510,5.21003132357614e-08,60.4690991079868,0.68553043731265,1.72068139765475e-06
"34",37,"98P11_C02_CFFv1_NB0120_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",1.1203187250996,22777892,2510,4.91844778744057e-08,57.0848980063441,0.647164182557969,1.6243820982205e-06
"35",120,"99P03_C01_CFFv1_NB0121_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",3.63346613545817,58704472,2510,6.1894196671391e-08,71.8361576022658,0.814397324623566,2.04413728480515e-06
"36",110,"9P01_A01_CFFv1_NB0021_edar_out.sam.bam.sorted.deduplicated.bam","EDAR",3.33067729083665,52685887,2510,6.32176372172808e-08,73.3721801818385,0.831811016016853,2.0878456502023e-06
"37",117,"100R21_E03_CFFv1_NA0104.filtered.sam.bam","HHV-6A",0.18525,8742122,48000,2.11905072933093e-08,24.5943029146342,0.278822464385649,1.33834782905112e-05
"38",19,"104P04_D01_CFFv1_NA0266.filtered.sam.bam","HHV-6A",0.0300833333333333,22370624,48000,1.3447695215535e-09,1.56077759279964,0.0176943358099145,8.49328118875897e-07
"39",203,"108R08_H01_CFFv1_NA0123.filtered.sam.bam","HHV-6A",0.321416666666667,19397685,48000,1.65698466939053e-08,19.2314333582579,0.218024298604017,1.04651663329928e-05
"40",107,"108R17_A03_CFFv1_NA0123.filtered.sam.bam","HHV-6A",0.169416666666667,9514796,48000,1.78056015774449e-08,20.6656854747048,0.23428423128217,1.12456431015442e-05
"41",385,"109P08_H01_CFFv1_NA0273.filtered.sam.bam","HHV-6A",0.609583333333333,37966270,48000,1.60559184068736e-08,18.6349536330346,0.211262084300969,1.01405800464465e-05
"42",440,"109P08_H01_CFFv1_NB0133.filtered.sam.bam","HHV-6A",0.696666666666667,41837035,48000,1.66519129920815e-08,19.3266818281737,0.219104118316861,1.05169976792093e-05
"43",137,"10P05_E01_CFFv1_NB0022.filtered.sam.bam","HHV-6A",0.216916666666667,12197488,48000,1.7783716341157e-08,20.6402848496432,0.233996267646803,1.12318208470465e-05
"44",11,"120R22_F03_CFFv1_NA0137.filtered.sam.bam","HHV-6A",0.0174166666666667,7041653,48000,2.47337758146655e-09,2.87067207117124,0.032544441861402,1.56213320934729e-06
"45",198,"25P15_G02_CFFv1_NB0042.filtered.sam.bam","HHV-6A",0.3135,21445739,48000,1.4618288509433e-08,16.9663996580218,0.192345901439908,9.2326032691156e-06
"46",228,"25P19_C03_CFFv1_NB0042.filtered.sam.bam","HHV-6A",0.361,21975800,48000,1.64271607859555e-08,19.0658280523917,0.216146852446782,1.03750489174456e-05
"47",166,"52P23_G03_CFFv1_NB0069.filtered.sam.bam","HHV-6A",0.262833333333333,15169003,48000,1.73270012098576e-08,20.1102083333333,0.227986858024442,1.09433691851732e-05
"48",245,"73P02_B01_CFFv1_NB0094.filtered.sam.bam","HHV-6A",0.387916666666667,25809275,48000,1.50301264435621e-08,17.4443904282997,0.197764821625817,9.49271143803923e-06
"49",362,"76P02_B01_CFFv1_NB0097.filtered.sam.bam","HHV-6A",0.573166666666667,35451467,48000,1.61676431236729e-08,18.7646245035795,0.212732146364117,1.02111430254776e-05
