"","Var1","Freq","percent","type"
"599","169",14,0.617556241729157,"CMV"
"600","170",16,0.70577856197618,"CMV"
"601","171",7,0.308778120864579,"CMV"
"602","172",12,0.529333921482135,"CMV"
"603","173",20,0.882223202470225,"CMV"
"604","174",17,0.749889722099691,"CMV"
"605","175",10,0.441111601235113,"CMV"
"606","176",14,0.617556241729157,"CMV"
"607","177",10,0.441111601235113,"CMV"
"608","178",5,0.220555800617556,"CMV"
"609","179",13,0.573445081605646,"CMV"
"610","180",13,0.573445081605646,"CMV"
"611","181",10,0.441111601235113,"CMV"
"612","182",7,0.308778120864579,"CMV"
"613","183",6,0.264666960741067,"CMV"
"614","184",12,0.529333921482135,"CMV"
"615","185",9,0.397000441111601,"CMV"
"616","186",19,0.838112042346714,"CMV"
"617","187",8,0.35288928098809,"CMV"
"618","188",7,0.308778120864579,"CMV"
"619","189",6,0.264666960741067,"CMV"
"620","190",6,0.264666960741067,"CMV"
"621","191",4,0.176444640494045,"CMV"
"622","192",5,0.220555800617556,"CMV"
"623","193",6,0.264666960741067,"CMV"
"624","194",8,0.35288928098809,"CMV"
"625","195",4,0.176444640494045,"CMV"
"626","196",4,0.176444640494045,"CMV"
"627","197",5,0.220555800617556,"CMV"
"628","198",4,0.176444640494045,"CMV"
"629","199",3,0.132333480370534,"CMV"
"630","200",6,0.264666960741067,"CMV"
"631","201",4,0.176444640494045,"CMV"
"632","202",3,0.132333480370534,"CMV"
"633","203",1,0.0441111601235112,"CMV"
"634","204",5,0.220555800617556,"CMV"
"635","205",4,0.176444640494045,"CMV"
"636","206",6,0.264666960741067,"CMV"
"637","207",6,0.264666960741067,"CMV"
"638","208",6,0.264666960741067,"CMV"
"639","209",3,0.132333480370534,"CMV"
"640","210",4,0.176444640494045,"CMV"
"641","211",1,0.0441111601235112,"CMV"
"642","212",4,0.176444640494045,"CMV"
"643","213",2,0.0882223202470225,"CMV"
"644","214",2,0.0882223202470225,"CMV"
"645","215",4,0.176444640494045,"CMV"
"646","216",5,0.220555800617556,"CMV"
"647","217",4,0.176444640494045,"CMV"
"648","218",2,0.0882223202470225,"CMV"
"649","219",3,0.132333480370534,"CMV"
"650","220",2,0.0882223202470225,"CMV"
"651","221",2,0.0882223202470225,"CMV"
