iteration,50,100,150,200,250,300,350
1,339,215,137,81,55,17,6
2,348,239,124,78,47,27,9
3,401,210,125,72,35,29,8
4,380,234,112,80,45,19,11
5,334,223,130,72,39,25,8
6,371,187,116,62,48,22,11
7,352,234,129,74,44,19,14
8,350,214,138,59,48,30,12
9,357,202,137,80,41,30,11
10,363,197,119,74,45,26,11
11,334,213,126,61,34,27,15
12,350,253,124,71,32,16,11
13,368,227,128,72,54,22,8
14,395,206,134,69,32,22,5
15,354,221,139,76,40,27,16
16,351,210,118,75,35,22,10
17,324,220,117,86,40,21,7
18,367,180,115,62,52,17,14
19,346,213,126,61,41,28,9
20,377,196,141,73,57,28,10
21,348,210,141,69,46,27,9
22,373,211,103,69,54,22,5
23,351,218,127,82,42,17,6
24,356,215,136,76,46,20,10
25,353,217,118,81,45,14,9
26,343,218,111,69,47,30,12
27,370,201,131,71,43,23,12
28,389,209,124,76,52,20,9
29,351,240,121,76,50,18,14
30,344,189,141,73,29,25,9
31,376,212,126,74,45,27,14
32,374,181,145,64,58,22,7
33,375,211,140,69,55,25,7
34,357,205,122,80,47,27,11
35,361,198,135,87,51,25,8
36,340,200,108,66,46,23,11
37,341,208,126,71,59,25,12
38,340,256,122,71,49,29,14
39,364,201,118,67,60,23,15
40,380,223,127,85,36,29,8
41,395,207,129,59,42,20,7
42,333,229,105,70,49,26,15
43,346,232,134,83,43,29,8
44,357,205,132,61,47,23,10
45,383,206,125,67,40,18,11
46,377,223,122,90,37,27,15
47,332,212,137,80,41,21,14
48,370,209,125,72,27,32,16
49,322,203,112,60,54,19,9
50,365,216,117,85,51,29,6
51,363,215,137,54,43,21,11
52,341,217,114,86,39,23,9
53,359,251,101,78,47,28,9
54,316,205,134,73,39,21,17
55,370,203,104,73,44,13,10
56,358,226,118,65,47,21,7
57,342,242,142,66,46,15,14
58,361,218,131,63,46,20,14
59,349,225,105,75,51,27,10
60,342,198,134,88,44,28,10
61,351,226,131,82,54,26,10
62,371,216,130,82,27,19,12
63,363,202,136,75,45,20,7
64,330,210,117,75,50,26,14
65,380,222,112,73,45,25,7
66,337,196,136,60,37,19,13
67,341,237,126,73,43,23,10
68,351,221,135,71,44,22,9
69,330,238,140,65,48,25,16
70,338,224,117,76,45,28,8
71,410,234,135,72,45,28,14
72,362,240,114,69,43,18,8
73,365,211,144,94,65,22,9
74,356,213,122,73,47,19,9
75,375,198,128,70,52,24,14
76,355,216,123,70,44,22,19
77,359,180,121,83,39,30,11
78,363,248,144,59,57,21,12
79,348,208,125,62,38,17,15
80,375,214,112,76,41,23,7
81,351,217,119,75,45,23,12
82,339,207,116,69,43,22,10
83,332,231,127,63,49,19,10
84,380,240,132,90,51,20,17
85,386,218,126,65,48,21,15
86,340,204,123,68,45,24,13
87,374,182,134,97,43,22,12
88,373,200,113,72,38,26,11
89,374,218,131,72,54,19,17
